id_chamado,customer_id,frequencia_chamados_6_meses,tipo_erro_reportado,cartucho_registrado,call_date,region,state,cartridge_type,nps,returned,classificacao_risco
CH1000,C0103,1,falha de reconhecimento,True,2025-03-20,Sudeste,MG,original,7,False,Baixa Probabilidade
CH1001,C0117,2,falha de reconhecimento,True,2025-01-06,Sul,RS,original,9,False,Baixa Probabilidade
CH1002,C0058,2,baixa qualidade de impressão,True,2024-09-18,Norte,AC,original,7,True,Baixa Probabilidade
CH1003,C0190,4,vazamento de tinta,False,2025-02-05,Centro-Oeste,GO,falsificado,2,True,Alta Probabilidade de Falsificação
CH1004,C0051,1,baixa qualidade de impressão,True,2024-07-05,Sul,RS,generico,6,False,Baixa Probabilidade
CH1005,C0053,5,danificou a impressora,False,2025-05-12,Sudeste,MG,falsificado,3,True,Alta Probabilidade de Falsificação
CH1006,C0081,4,vazamento de tinta,False,2024-12-07,Sudeste,RJ,falsificado,1,True,Alta Probabilidade de Falsificação
CH1007,C0146,2,baixa qualidade de impressão,True,2024-10-22,Centro-Oeste,DF,generico,6,True,Baixa Probabilidade
CH1008,C0082,2,baixa qualidade de impressão,True,2024-08-19,Centro-Oeste,MS,original,9,False,Baixa Probabilidade
CH1009,C0065,3,danificou a impressora,False,2025-01-28,Sul,PR,falsificado,3,True,Alta Probabilidade de Falsificação
CH1010,C0081,1,falha de reconhecimento,True,2024-09-21,Nordeste,MA,original,7,False,Baixa Probabilidade
CH1011,C0162,5,vazamento de tinta,False,2024-06-21,Sudeste,ES,falsificado,3,True,Alta Probabilidade de Falsificação
CH1012,C0035,1,outro,True,2024-11-21,Sudeste,SP,generico,7,False,Baixa Probabilidade
CH1013,C0015,3,vazamento de tinta,False,2025-03-12,Sudeste,ES,falsificado,3,True,Alta Probabilidade de Falsificação
CH1014,C0132,1,falha de reconhecimento,True,2025-03-22,Sudeste,MG,original,10,False,Baixa Probabilidade
CH1015,C0028,1,baixa qualidade de impressão,True,2024-09-03,Norte,AC,original,9,False,Baixa Probabilidade
CH1016,C0190,2,baixa qualidade de impressão,True,2025-02-15,Sudeste,RJ,original,6,False,Baixa Probabilidade
CH1017,C0116,1,baixa qualidade de impressão,True,2024-10-25,Nordeste,CE,original,6,False,Baixa Probabilidade
CH1018,C0172,5,vazamento de tinta,False,2025-02-23,Sudeste,ES,falsificado,3,True,Alta Probabilidade de Falsificação
CH1019,C0062,2,baixa qualidade de impressão,True,2025-03-27,Nordeste,MA,original,8,False,Baixa Probabilidade
CH1020,C0187,2,baixa qualidade de impressão,True,2024-12-26,Sul,RS,original,6,False,Baixa Probabilidade
CH1021,C0160,1,falha de reconhecimento,True,2025-03-10,Centro-Oeste,DF,original,8,False,Baixa Probabilidade
CH1022,C0198,1,baixa qualidade de impressão,True,2025-01-19,Centro-Oeste,MS,generico,6,False,Baixa Probabilidade
CH1023,C0187,4,danificou a impressora,False,2024-08-12,Sul,PR,falsificado,2,True,Alta Probabilidade de Falsificação
CH1024,C0161,1,outro,True,2024-08-22,Sul,PR,original,9,False,Baixa Probabilidade
CH1025,C0099,4,falha de reconhecimento,False,2024-08-16,Sudeste,RJ,falsificado,3,True,Alta Probabilidade de Falsificação
CH1026,C0140,2,falha de reconhecimento,True,2025-01-15,Sudeste,ES,original,8,False,Baixa Probabilidade
CH1027,C0054,2,outro,True,2024-11-01,Norte,PA,generico,6,False,Baixa Probabilidade
CH1028,C0112,5,falha de reconhecimento,False,2024-12-04,Nordeste,PE,falsificado,1,True,Alta Probabilidade de Falsificação
CH1029,C0054,1,baixa qualidade de impressão,True,2025-02-01,Norte,AC,original,6,False,Baixa Probabilidade
CH1030,C0195,1,falha de reconhecimento,True,2024-11-02,Sudeste,MG,original,10,False,Baixa Probabilidade
CH1031,C0021,2,falha de reconhecimento,True,2025-05-12,Sudeste,ES,generico,6,False,Baixa Probabilidade
CH1032,C0192,1,outro,True,2025-05-10,Norte,AM,original,10,False,Baixa Probabilidade
CH1033,C0024,4,falha de reconhecimento,False,2024-12-07,Centro-Oeste,DF,falsificado,2,True,Alta Probabilidade de Falsificação
CH1034,C0160,2,baixa qualidade de impressão,True,2024-06-21,Sul,PR,original,7,False,Baixa Probabilidade
CH1035,C0174,5,falha de reconhecimento,False,2024-09-16,Sul,SC,falsificado,1,True,Alta Probabilidade de Falsificação
CH1036,C0104,1,falha de reconhecimento,True,2025-06-03,Sudeste,RJ,original,7,False,Baixa Probabilidade
CH1037,C0060,1,falha de reconhecimento,True,2024-07-29,Norte,PA,original,9,False,Baixa Probabilidade
CH1038,C0032,2,baixa qualidade de impressão,True,2024-08-15,Sul,SC,original,10,False,Baixa Probabilidade
CH1039,C0180,5,vazamento de tinta,False,2025-04-17,Sul,RS,falsificado,3,True,Alta Probabilidade de Falsificação
CH1040,C0108,2,outro,True,2024-09-20,Norte,AC,original,8,False,Baixa Probabilidade
CH1041,C0114,2,baixa qualidade de impressão,True,2025-02-19,Sul,RS,original,8,False,Baixa Probabilidade
CH1042,C0062,1,falha de reconhecimento,True,2025-02-18,Sul,SC,original,7,False,Baixa Probabilidade
CH1043,C0048,3,vazamento de tinta,False,2025-04-08,Sudeste,ES,falsificado,3,True,Alta Probabilidade de Falsificação
